airport_id,city,airport_code
273,Moline,MLI
274,Monroe,MLU
275,Monterey,MRY
276,Montgomery,MGM
277,Montrose,MTJ
278,Morgantown,MGW
279,Moses Lake,MWH
280,Muscle Shoals,MSL
281,Muskegon,MKG
282,Myrtle Beach,MYR
283,Nantucket,ACK
284,Naples,APF
285,Nashville,BNA
286,New Bern,EWN
287,New Haven,HVN
288,New Orleans,MSY
289,New York,JFK
290,New York,LGA
291,New York,NYC -All
292,Newark,EWR
293,Newburgh,SWF
294,Newport News,PHF
295,Nome,OME
296,Norfolk,ORF
297,North Bend,OTH
298,North Platte,LBF
299,Oakland,OAK
300,Ogdensburg,OGS
301,Oklahoma City,OKC
302,Omaha,OMA
303,Ontario,ONT
304,Orange County,SNA
305,Orlando,MCO
306,Oshkosh,OSH
307,Owensboro,OWB
308,Oxnard,OXR
309,Paducah,PAH
310,Page,PGA
311,Palm Springs,PSP
312,Panama City,PFN
313,Parkersburg,PKB
314,Pasco,PSC
315,Pellston,PLN
316,Pendleton,PDT
317,Pensacola,PNS
318,Peoria,PIA
319,Philadelphia,PHL
320,Phoenix,PHX
321,Pierre,PIR
322,Pinehurst,SOP
323,Pittsburgh,PIT
324,Plattsburgh,PLB
325,Pocatello,PIH
326,Ponca City,PNC
327,Portland,PWM
328,Portland,PDX
329,Portsmouth,PSM
330,Prescott,PRC
331,Presque Isle,PQI
332,Providence,PVD
333,Provincetown,PVC
334,Pueblo,PUB
335,Pullman,PUW
336,Quincy,UIN
337,Raleigh,RDU
338,Rapid City,RAP
339,Redding,RDD
340,Redmond,RDM
341,Reno,RNO
342,Rhinelander,RHI
343,Richmond,RIC
344,Riverton,RIW
345,Roanoke,ROA
346,Rochester,RST
347,Rochester,ROC
348,Rock Springs,RKS
349,Rockford,RFD
350,Rockland,RKD
351,Roswell,ROW
352,Rutland,RUT
353,Sacramento,SMF
354,Saginaw,MBS
355,Salina,SLN
356,Salisbury,SBY
357,Salt Lake City,SLC
358,San Angelo,SJT
359,San Antonio,SAT
360,San Diego,SAN
361,San Francisco,QSF -All
362,San Francisco,SFO
363,San Jose,SJC
364,San Luis Obispo,SBP
365,Sand Point,SDP
366,Santa Barbara,SBA
367,Santa Fe,SAF
368,Santa Maria,SMX
369,Santa Rosa,STS
370,Saranac Lake,SLK
371,Sarasota,SRQ
372,Sault Ste. Marie,CIU
373,Savannah,SAV
374,Scottsbluff,BFF
375,Seattle,SEA
376,Shenandoah Valley Airport,SHD
377,Sheridan,SHR
378,Shreveport,SHV
379,Sidney,SDY
380,Silver City,SVC
381,Sioux City,SUX
382,Sioux Falls,FSD
383,Sitka,SIT
384,Skagway,SGY
385,South Bend,SBN
386,Spokane,GEG
387,Springfield,SPI
388,Springfield,CEF
389,Springfield,SGF
390,Springfield,VSF
391,St. Cloud,STC
392,St. George,SGU
393,St. Louis,STL
394,St. Petersburg,PIE
395,State College,SCE
396,Steamboat Springs,SBS
397,Sun Valley,SUN
398,Syracuse,SYR
399,Tallahassee,TLH
400,Tampa,TPA
401,Telluride,TEX
402,Texarkana,TXK
403,Thief River Falls,TVF
404,Toksook Bay,OOK
405,Toledo,TOL
406,Topeka,TOP
407,Traverse City,TVC
408,Trenton,TTN
409,Tri-City Airport,TRI
410,Tucson,TUS
411,Tulsa,TUL
412,Tupelo,TUP
413,Twin Falls,TWF
414,Tyler,TYR
415,Unalakleet,UNK
416,Vail,EGE
417,Valdez,VDZ
418,Valdosta,VLD
419,Victoria,VCT
420,Visalia,VIS
421,Waco,ACT
422,Walla Walla,ALW
423,Washington DC,DCA
424,Washington DC,IAD
425,Washington DC,WAS 
426,Waterloo,ALO
427,Watertown,ART
428,Watertown,ATY
429,Wausau,CWA
430,Wenatchee,EAT
431,West Palm Beach,PBI
432,West Yellowstone,WYS
433,White Plains,HPN
434,Wichita Falls,SPS
435,Wichita,ICT
436,Wilkes-Barre,AVP
437,Williamsport,IPT
438,Williston,ISN
439,Wilmington,ILG
440,Wilmington,ILM
441,Wolf Point,OLF
442,Worland,WRL
443,Wrangell,WRG
444,Yakima,YKM
445,Yakutat,YAK
446,Yuma,YUM
