hotel_id,city,name,address,postalcode
254,Brooklyn,Comfort Inn Red Hook,17 Seabring St,11231
255,Brooklyn,Hotel Luxe,1420 Atlantic Ave,11216
256,Brooklyn,Hotel Prince Spafford,315 93rd St,11209
257,Brooklyn,Kings Hotel,820 39th St,11232
258,Brooklyn,hotel le bleu,370 4th Ave,11215
259,Brookshire,Executive Inn,217 Waller Ave,77423
260,Brooksville,Quality Inn,9373 Cortez Blvd,34613
261,Broomfield,SpringHill Suites Denver North/Westminster,6845 W 103rd Ave,80021
262,Brownsburg,Hampton Inn & Suites Indianapolis/brownsburg,41 Maplehurst Dr,46112
263,Brownsville,Rodeway Inn,110 Sunny Hill Cv,38012
264,Buena Park,Motel 6,7051 Valley View St,90620
265,Buffalo,Aloft Buffalo Airport,4219 Genesee St,14225
266,Buffalo,Blue Gables Motel,662 N Main St,82834
267,Buffalo,Hilton Garden Inn Buffalo Downtown,10 Lafayette Sq,14203
268,Buffalo,Home2 Suites by Hilton Buffalo Airport/Galleria Mall,1999 Walden Ave,14225
269,Buffalo,Klondike Ranch,386 Crazy Woman Canyon Rd,82834
270,Buffalo,Lofts on Pearl,92 Pearl St,14202
271,Buford,Hampton Inn Atlanta-Mall Of Georgia,3240 Buford Dr,30519
272,Burleson,Best Western Plus Burleson Inn Suites,516 Memorial Plz,76028
273,Burnet,Arrowhead Motel,100 N West St,78611
274,Burnet,Best Western Post Oak Inn,908 Buchanan Dr,78611
275,Butte,Holiday Inn Express & Suites Butte,2609 Harrison Ave,59701
276,Butte,La Quinta Inn & Suites Butte,1 Holiday Park,59701
277,Butte,Quality Inn Suites,2100 Cornell Ave,59701
278,Byron Center,Baymont Inn Suites Grand Rapids SW/Byron Center,8282 Pfeiffer Farms Dr SW,49315
279,Cabazon,Morongo Casino Resort & Spa,49500 Seminole Dr,92230
280,Calistoga,Best Western Plus Stevenson Manor,1830 Lincoln Ave,94515
281,Calistoga,Hotel Damici Ristorante,1440 Lincoln Ave,94515
282,Camarillo,Hampton Inn & Suites Camarillo,50 W Daily Dr,93010
283,Camarillo,Residence Inn Camarillo,2912 Petit St,93012
284,Cambridge,The Charles Hotel,1 Bennett St,2138
285,Canal Winchester,Best Western Canal Winchester Inn - Columbus South East,6323 Prentiss School Pl,43110
286,Cannon Beach,Harrison Street Inn,987 S Hemlock St,97110
287,Canton,Hampton Inn Suites Detroit-Canton,1950 N Haggerty Rd,48187
288,Canton,Home2 Suites by Hilton Canton,5244 Broadmoor Cir NW,44709
289,Canton,Quality Inn Suites Canton,2406 N Trade Days Blvd,75103
290,Canyon,Best Western Palo Duro Canyon Inn Suites,2801 4th Ave,79015
291,Cape Coral,Dolphin Key Resort,1502 Miramar St,33904
292,Cape May,The Star Inn,29 Perry St,8204
